open_time,open,high,low,close,volume
2022-11-20,16630.1,16814.5,16454.2,16570.3,237458.22999999992
2022-11-21,16570.4,16604.0,15888.0,16122.7,554398.2669999993
2022-11-22,16122.6,16309.0,15443.2,16232.8,822272.412
2022-11-23,16232.8,16694.0,16040.0,16415.9,500478.64000000013
2022-11-24,16415.9,16800.0,16313.1,16549.0,433714.9259999996
2022-11-25,16548.9,16669.6,16331.7,16505.4,327926.8720000002
2022-11-26,16505.3,16699.1,16451.0,16506.4,255160.6400000001
2022-11-27,16506.4,16594.2,16369.1,16566.2,187869.49000000017
2022-11-28,16566.3,16588.0,16040.0,16136.7,391411.6349999992
2022-11-29,16136.7,16543.0,15984.1,16384.8,480100.67900000064
2022-11-30,16384.9,17082.2,16335.1,16856.8,454444.2340000006
2022-12-01,16856.8,17348.5,16700.0,16970.5,582403.8850000007
2022-12-02,16970.5,17096.3,16760.0,16928.9,346428.29099999985
2022-12-03,16928.9,17160.0,16881.4,16953.8,203149.028
2022-12-04,16953.9,17075.9,16850.1,17022.2,225434.13999999972
2022-12-05,17022.2,17430.0,16965.1,17073.8,494576.0579999998
2022-12-06,17073.8,17124.6,16860.6,16974.9,361944.632999999
2022-12-07,16974.9,17130.0,16655.0,16829.1,386196.79700000014
2022-12-08,16829.1,16948.7,16710.4,16907.7,258846.0729999997
2022-12-09,16907.7,17365.4,16901.0,17170.4,432352.2269999998
2022-12-10,17170.3,17228.6,17052.0,17200.3,155079.36299999975
2022-12-11,17200.3,17220.0,17081.0,17145.5,119176.44899999994
2022-12-12,17145.5,17265.0,16865.0,16999.9,327427.2010000001
2022-12-13,17000.0,18100.0,16973.9,17749.6,585569.956
2022-12-14,17749.5,18111.5,17617.9,18054.8,346477.23000000033
2022-12-15,18054.8,18400.0,17355.0,17424.0,701340.6110000003
2022-12-16,17424.0,17528.0,16870.6,16961.8,508962.5040000001
2022-12-17,16961.8,16969.5,16521.1,16692.4,439743.47000000026
2022-12-18,16692.3,16795.0,16639.0,16676.4,164118.19700000013
2022-12-19,16676.4,16872.0,16620.4,16660.2,238757.68199999983
2022-12-20,16660.3,17049.6,16210.0,16910.9,544250.2200000002
2022-12-21,16910.8,16927.5,16694.2,16854.6,282291.99800000014
2022-12-22,16854.6,16861.9,16600.0,16631.5,228935.67
2022-12-23,16631.5,16960.0,16556.1,16825.9,359935.6709999999
2022-12-24,16826.0,16852.5,16762.5,16830.2,101756.40500000003
2022-12-25,16830.3,16859.9,16700.0,16784.1,115709.66299999985
2022-12-26,16784.2,16919.8,16723.6,16801.2,154142.72100000008
2022-12-27,16801.1,16968.0,16723.2,16790.7,203367.0140000002
2022-12-28,16790.7,16795.4,16541.0,16571.3,329613.57699999993
2022-12-29,16571.3,16660.0,16455.6,16610.1,271779.27599999955
2022-12-30,16610.1,16649.0,16320.0,16547.7,285099.10499999975
2022-12-31,16547.7,16666.6,16510.0,16586.0,157178.11099999977
2023-01-01,16586.1,16609.3,16461.8,16553.1,109761.44
2023-01-02,16553.0,16767.8,16541.2,16729.2,206027.01599999983
2023-01-03,16729.2,16799.0,16610.0,16670.8,199041.5809999999
2023-01-04,16670.9,16913.6,16600.3,16846.5,265920.86200000014
2023-01-05,16846.5,16984.6,16740.4,16836.6,267728.03899999993
2023-01-06,16836.7,16867.8,16664.8,16834.2,239019.96799999976
2023-01-07,16834.1,17030.0,16801.6,16934.5,185010.64700000032
2023-01-08,16934.5,17015.6,16905.0,16991.0,84835.19900000007
2023-01-09,16990.9,17325.0,16910.2,17260.4,344254.9750000002
2023-01-10,17260.4,17387.8,17118.3,17317.5,323677.50999999983
2023-01-11,17317.6,17500.0,17273.3,17325.3,277344.9480000004
2023-01-12,17325.2,18400.0,17320.3,18077.7,817955.6880000001
2023-01-13,18077.6,19299.2,18045.7,19252.5,835648.4919999994
2023-01-14,19252.6,21544.0,19053.0,20796.9,1296573.7529999977
2023-01-15,20796.9,21092.0,20556.0,20925.0,416041.10900000005
2023-01-16,20925.0,21449.3,20606.6,21000.6,598101.9620000003
2023-01-17,21000.6,21640.0,20827.8,21175.6,623681.4769999996
2023-01-18,21175.7,21672.0,20810.0,21035.5,541843.3310000006
2023-01-19,21035.5,21138.0,20386.0,20870.7,636183.6539999996
2023-01-20,20870.8,21250.0,20786.8,21139.7,393220.9080000006
2023-01-21,21139.7,23330.0,21136.1,22996.2,1019380.5300000001
2023-01-22,22996.2,23390.0,22600.2,22792.9,498837.5439999996
2023-01-23,22793.0,23160.0,22287.0,22852.0,549458.3209999996
2023-01-24,22852.1,23193.1,22653.0,22924.0,485224.5040000005
2023-01-25,22924.0,23085.1,22310.5,22573.3,527353.0379999997
2023-01-26,22573.4,23837.4,22508.1,22947.3,695900.1760000007
2023-01-27,22947.2,23161.0,22516.6,22928.8,411244.95299999934
2023-01-28,22928.8,23500.0,22870.8,23004.7,351339.75599999976
2023-01-29,23004.6,23680.0,22935.1,23522.7,395831.85999999975
2023-01-30,23522.7,23962.7,22930.0,23178.6,585642.1690000005
2023-01-31,23178.6,23247.0,22484.2,23113.9,442029.2349999999
